CMS Certification Number (CCN),Facility Name,Provider Address,City/Town,State,ZIP Code,Telephone Number,Provider SSA County Code,County/Parish,Urban,Ownership Type,Number of Certified Beds,Average Number of Residents per Day,Average Number of Residents per Day Footnote,Provider Type,Provider Resides in Hospital,Legal Business Name,Date First Approved to Provide Medicare and Medicaid Services,Chain Name,Chain ID,Number of Facilities in Chain,Chain Average Overall 5-star Rating,Chain Average Health Inspection Rating,Chain Average Staffing Rating,Chain Average QM Rating,Continuing Care Retirement Community,Special Focus Status,Abuse Icon,Most Recent Health Inspection More Than 2 Years Ago,Provider Changed Ownership in Last 12 Months,With a Resident and Family Council,Automatic Sprinkler Systems in All Required Areas,Overall Rating,Overall Rating Footnote,Health Inspection Rating,Health Inspection Rating Footnote,QM Rating,QM Rating Footnote,Long-Stay QM Rating,Long-Stay QM Rating Footnote,Short-Stay QM Rating,Short-Stay QM Rating Footnote,Staffing Rating,Staffing Rating Footnote,Reported Staffing Footnote,Physical Therapist Staffing Footnote,Reported Nurse Aide Staffing Hours per Resident per Day,Reported LPN Staffing Hours per Resident per Day,Reported RN Staffing Hours per Resident per Day,Reported Licensed Staffing Hours per Resident per Day,Reported Total Nurse Staffing Hours per Resident per Day,Total number of nurse staff hours per resident per day on the weekend,Registered Nurse hours per resident per day on the weekend,Reported Physical Therapist Staffing Hours per Resident Per Day,Total nursing staff turnover,Total nursing staff turnover footnote,Registered Nurse turnover,Registered Nurse turnover footnote,Number of administrators who have left the nursing home,Administrator turnover footnote,Nursing Case-Mix Index,Nursing Case-Mix Index Ratio,Case-Mix Nurse Aide Staffing Hours per Resident per Day,Case-Mix LPN Staffing Hours per Resident per Day,Case-Mix RN Staffing Hours per Resident per Day,Case-Mix Total Nurse Staffing Hours per Resident per Day,Case-Mix Weekend Total Nurse Staffing Hours per Resident per Day,Adjusted Nurse Aide Staffing Hours per Resident per Day,Adjusted LPN Staffing Hours per Resident per Day,Adjusted RN Staffing Hours per Resident per Day,Adjusted Total Nurse Staffing Hours per Resident per Day,Adjusted Weekend Total Nurse Staffing Hours per Resident per Day,Rating Cycle 1 Standard Survey Health Date,Rating Cycle 1 Total Number of Health Deficiencies,Rating Cycle 1 Number of Standard Health Deficiencies,Rating Cycle 1 Number of Complaint Health Deficiencies,Rating Cycle 1 Health Deficiency Score,Rating Cycle 1 Number of Health Revisits,Rating Cycle 1 Health Revisit Score,Rating Cycle 1 Total Health Score,Rating Cycle 2 Standard Health Survey Date,Rating Cycle 2/3 Total Number of Health Deficiencies,Rating Cycle 2 Number of Standard Health Deficiencies,Rating Cycle 2/3 Number of Complaint Health Deficiencies,Rating Cycle 2/3 Health Deficiency Score,Rating Cycle 2/3 Number of Health Revisits,Rating Cycle 2/3 Health Revisit Score,Rating Cycle 2/3 Total Health Score,Total Weighted Health Survey Score,Number of Citations from Infection Control Inspections,Number of Fines,Total Amount of Fines in Dollars,Number of Payment Denials,Total Number of Penalties,Location,Latitude,Longitude,Geocoding Footnote,Processing Date,EVS_Citation_Count,Dietary_Citation_Count,hk_direct,hk_contract,diet_direct,diet_contract,Overall_Rating,Health_Inspection_Rating,HOT_HOT_EVS,HOT_HOT_Dietary,Priority_Sort,Region
085051,DELAWARE VETERANS HOME,100 DELAWARE VETERANS BLVD,MILFORD,DE,19963,3024246000,020,Sussex,N,Government - State,144,63.7,,Medicare and Medicaid,N,STATE OF DELAWARE,2007-06-20,,,,,,,,N,,Y,N,N,Resident,Yes,4,,2,,5,,5,,,2,5,,,,3.89269,0.72597,2.46058,3.18655,7.07924,6.28324,1.69375,0.02965,54.0,,57.7,,0,,1.26153,0.89353,2.07067,0.76724,0.61235,3.45026,3.05871,4.32546,0.80668,2.73413,7.86627,6.98178,2026-03-12,7,7,2,56,1,0,56,2024-04-25,8,3,6,56,1,0,56,56.000,,2,118757.00,0,2,"100 DELAWARE VETERANS BLVD,MILFORD,DE,19963",38.9357,-75.453,,2026-08-01,0,0,,,,,,,No,No,4,Northeast
105840,EMORY L BENNETT MEMORIAL VETERANS NURSING HOME,1920 MASON AVENUE,DAYTONA BEACH,FL,32117,3862743460,630,Volusia,Y,Government - State,120,115.1,,Medicare and Medicaid,N,FLORIDA DEPARTMENT OF VETERANS AFFAIRS,1994-01-19,FLORIDA DEPARTMENT OF VETERANS' AFFAIRS,739,7,3.9,3.6,4.3,2.4,N,,N,N,N,Both,Yes,4,,3,,3,,3,,,2,5,,,,2.73065,0.56666,1.23256,1.79921,4.52987,3.92055,0.82058,0.05288,58.0,,35.5,,1,,1.14590,0.81163,1.88087,0.69692,0.55622,3.13401,2.77835,3.34041,0.69319,1.50779,5.54139,4.79601,2024-10-17,5,5,0,24,1,0,24,2022-12-01,5,5,0,36,1,0,36,27.000,,1,9503.00,0,1,"1920 MASON AVENUE,DAYTONA BEACH,FL,32117",29.2123,-81.083,,2026-08-01,0,0,,662916.0,602973.0,684421.0,3.9,3.6,No,No,2,Southeast
106006,BALDOMERO LOPEZ MEMORIAL VETERANS NURSING HOME,6919 PARKWAY BLVD,LAND O LAKES,FL,34639,8135585000,500,Pasco,Y,Government - State,120,113.9,,Medicare and Medicaid,N,FLORIDA DEPARTMENT OF VETERANS AFFAIRS,1999-05-07,FLORIDA DEPARTMENT OF VETERANS' AFFAIRS,739,7,3.9,3.6,4.3,2.4,N,,N,Y,N,Both,Yes,5,,4,,3,,3,,,2,5,,,,3.00886,0.89563,0.85293,1.74856,4.75742,4.12949,0.55292,0.02225,47.5,,48.4,,0,,1.24582,0.88240,2.04488,0.75769,0.60473,3.40729,3.02062,3.38552,1.00775,0.95971,5.35298,4.64645,2024-01-25,3,0,3,20,0,0,20,2022-01-14,2,2,0,8,1,0,8,17.000,,0,0.00,0,0,"6919 PARKWAY BLVD,LAND O LAKES,FL,34639",28.2527,-82.445,,2026-08-01,0,0,,638269.0,627211.0,651451.0,3.9,3.6,No,No,2,Southeast
106038,"ALEXANDER ""SANDY"" NININGER STATE VETERANS NURSING",8401 W CYPRESS DR,PEMBROKE PINES,FL,33025,9549854824,050,Broward,Y,Government - State,120,113.1,,Medicare and Medicaid,N,FLORIDA DEPARTMENT OF VETERANS AFFAIRS,2001-09-06,,,,,,,,N,,N,N,N,Resident,Yes,3,,2,,2,,2,,,2,5,,,,3.57942,0.96958,1.01692,1.98650,5.56592,5.03348,0.61474,0.04856,24.4,,26.9,,0,,1.26516,0.89610,2.07663,0.76945,0.61411,3.46019,3.06752,3.96594,1.07428,1.12673,6.16695,5.57701,2026-05-21,9,9,0,56,1,0,56,2025-01-09,16,14,2,96,1,0,96,66.000,,1,38659.00,0,1,"8401 W CYPRESS DR,PEMBROKE PINES,FL,33025",26.004,-80.253,,2026-08-01,0,0,,652734.0,606739.0,623095.0,,,No,No,2,Southeast
106056,CLIFFORD CHESTER SIMS STATE VETERANS NURSING HOME,4419 TRAM ROAD,PANAMA CITY,FL,32404,8507475401,020,Bay,Y,Government - State,120,114.4,,Medicare and Medicaid,N,FLORIDA DEPARTMENT OF VETERANS AFFAIRS,2003-11-05,FLORIDA DEPARTMENT OF VETERANS' AFFAIRS,739,7,3.9,3.6,4.3,2.4,N,,N,N,N,Both,Yes,5,,5,,2,,2,,,2,5,,,,3.08015,1.22044,0.97455,2.19499,5.27514,4.74335,0.52064,0.03522,45.0,,34.4,,1,,1.22772,0.86958,2.01517,0.74668,0.59594,3.35778,2.97673,3.51684,1.39347,1.11271,6.02303,5.41584,2025-04-03,0,0,0,0,0,0,0,2024-02-01,2,2,0,8,1,0,8,2.000,,0,0.00,0,0,"4419 TRAM ROAD,PANAMA CITY,FL,32404",30.1841,-85.564,,2026-08-01,0,0,,675564.0,581875.0,700954.0,3.9,3.6,No,No,2,Southeast
106059,DOUGLAS JACOBSON STATE VETERANS NURSING HOME,21281 GRAYTON TERRACE,PORT CHARLOTTE,FL,33954,9416130919,070,Charlotte,Y,Government - State,120,112.3,,Medicare and Medicaid,N,FLORIDA DEPARTMENT OF VETERANS AFFAIRS,2004-06-07,FLORIDA DEPARTMENT OF VETERANS' AFFAIRS,739,7,3.9,3.6,4.3,2.4,N,,N,N,N,Both,Yes,3,,2,,2,,2,,,2,5,,,,2.60358,0.90429,1.16386,2.06815,4.67173,3.95014,0.76330,0.02155,52.1,,32.0,,0,,1.18875,0.84198,1.95121,0.72298,0.57702,3.25120,2.88225,3.07015,1.06634,1.37243,5.50893,4.65802,2024-09-06,6,5,2,52,1,0,52,2023-06-02,12,4,8,120,1,0,120,69.000,,7,114162.00,1,8,"21281 GRAYTON TERRACE,PORT CHARLOTTE,FL,33954",27.0278,-82.099,,2026-08-01,0,0,,658117.0,501905.0,672425.0,3.9,3.6,No,No,2,Southeast
106088,CLYDE E LASSEN STATE VETERANS NURSING HOME,4650 STATE RD 16,SAINT AUGUSTINE,FL,32092,9049402193,540,St. Johns,Y,Government - State,120,113.8,,Medicare and Medicaid,N,FLORIDA DEPARTMENT OF VETERANS AFFAIRS,2011-03-04,FLORIDA DEPARTMENT OF VETERANS' AFFAIRS,739,7,3.9,3.6,4.3,2.4,N,,N,N,N,Both,Yes,4,,5,,3,,3,,,2,1,25,25,6,,,,,,,,,56.0,,57.6,,,26,,,,,,,,,,,,,2025-08-22,1,1,0,4,1,0,4,2023-09-08,0,0,0,0,0,0,0,3.000,,0,0.00,0,0,"4650 STATE RD 16,SAINT AUGUSTINE,FL,32092",29.9596,-81.468,,2026-08-01,0,0,,827766.0,715493.0,769857.0,3.9,3.6,No,No,2,Southeast
106151,ALWYN C CASHE STATE VETERANS NURSING HOME,5255 RAYMOND ST,ORLANDO,FL,32803,4077414614,470,Orange,Y,Government - State,112,101.6,,Medicare and Medicaid,N,FLORIDA DEPARTMENT OF VETERANS AFFAIRS,2023-10-11,FLORIDA DEPARTMENT OF VETERANS' AFFAIRS,739,7,3.9,3.6,4.3,2.4,N,,Y,N,N,Resident,Yes,1,,2,,1,,1,,,2,4,,,,3.04795,1.00508,1.24527,2.25036,5.29830,4.63046,0.83336,0.05864,72.5,,72.1,,0,,1.30334,0.92315,2.13930,0.79267,0.63265,3.56462,3.16010,3.27814,1.08099,1.33932,5.69845,4.98018,2025-02-27,11,5,6,84,1,0,84,2023-09-08,11,2,9,92,1,0,92,86.000,,11,68731.00,0,11,"5255 RAYMOND ST,ORLANDO,FL,32803",28.579,-81.321,,2026-08-01,0,0,,646032.0,295019.0,1596149.0,3.9,3.6,No,No,2,Southeast
125021,KAUAI VETERANS MEMORIAL HOSPITAL,4643 WAIMEA CANYON DRIVE,WAIMEA,HI,96796,8083389431,040,Kauai,N,Government - State,20,20.0,,Medicare and Medicaid,Y,KAUAI VETERANS MEMORIAL HOSPITAL,1973-04-11,HAWAII HEALTH SYSTEMS CORPORATION,250,7,4.2,3.3,4.8,4.7,N,SFF Candidate,N,N,N,Resident,Yes,2,,1,,5,,5,,,2,5,,,,2.73167,0.27528,1.84056,2.11583,4.84750,4.30288,1.35385,0.00794,9.5,,12.5,,,26,1.22502,0.86767,2.01074,0.74503,0.59463,3.35040,2.97018,3.12583,0.31500,2.10613,5.54696,4.92376,2024-09-10,6,6,0,170,1,0,170,2023-09-22,4,4,0,28,1,0,28,134.500,,1,34588.00,0,1,"4643 WAIMEA CANYON DRIVE,WAIMEA,HI,96796",21.9604,-159.67,,2026-08-01,0,0,,,,,4.2,3.3,No,No,4,Pacific
125058,YUKIO OKUTSU STATE VETERANS HOME,1180 WAIANUENUE AVENUE,HILO,HI,96720,8089611500,010,Hawaii,N,Government - State,95,67.1,,Medicare and Medicaid,N,HAWAII HEALTH SYSTEMS CORPORATION,2008-03-10,HAWAII HEALTH SYSTEMS CORPORATION,250,7,4.2,3.3,4.8,4.7,N,,N,N,N,Resident,Yes,4,,3,,5,,5,,5,,4,,,,3.02688,0.49930,1.11846,1.61775,4.64463,4.06893,0.90666,0.07233,60.3,,53.6,,,26,1.25875,0.89156,2.06610,0.76555,0.61100,3.44265,3.05196,3.37083,0.55603,1.24555,5.17241,4.53128,2024-11-15,10,10,0,44,1,0,44,2023-10-30,11,10,2,68,1,0,68,50.000,,1,13049.00,0,1,"1180 WAIANUENUE AVENUE,HILO,HI,96720",19.7175,-155.11,,2026-08-01,0,0,453939.0,45018.0,630971.0,422134.0,4.2,3.3,No,No,2,Pacific
125070,DANIEL K AKAKA STATE VETERANS HOME,91-1204 KEALANANI AVE,KAPOLEI,HI,96707,8088610926,020,Honolulu,Y,Government - State,,,10,Medicare and Medicaid,N,DANIEL K AKAKA STATE VETERANS HOME,2025-07-29,HAWAII HEALTH SYSTEMS CORPORATION,250,7,4.2,3.3,4.8,4.7,N,,N,N,N,Both,Data Not Available,,1,,1,,1,,1,,1,,1,6,6,,,,,,,,,,27,,27,,27,,,,,,,,,,,,,2026-04-23,,,,,,,,,,,,,,,,,,0,0.00,0,0,"91-1204 KEALANANI AVE,KAPOLEI,HI,96707",21.3396,-158.07,,2026-08-01,0,0,,,,,4.2,3.3,No,No,4,Pacific
135131,Idaho State Veterans Home - Boise,320 Collins Road,Boise,ID,83702,2087801600,000,Ada,Y,Government - State,122,75.1,,Medicare and Medicaid,N,DIVISION OF VETERANS SERVICES,2007-09-01,,,,,,,,N,,N,N,N,Resident,Yes,2,,1,,3,,3,,,2,5,,,,2.50942,0.50275,1.21685,1.71960,4.22902,3.40866,0.60010,0.02120,45.3,,34.6,,0,,1.17450,0.83188,1.92781,0.71431,0.57011,3.21222,2.84769,2.99503,0.60004,1.45233,5.04740,4.06829,2025-05-16,12,12,12,124,1,0,124,2021-12-03,3,3,0,12,1,0,12,96.000,0,0,0.00,0,0,"320 Collins Road,Boise,ID,83702",43.6176,-116.19,,2026-08-01,0,0,79117.0,482041.0,853060.0,554335.0,,,No,No,2,Mountain West
135132,Idaho State Veterans Home - Pocatello,1957 Alvin Ricken Drive,Pocatello,ID,83201,2082357800,020,Bannock,Y,Government - State,66,52.9,,Medicare and Medicaid,N,DIVISION OF VETERANS SERVICES,2007-11-01,,,,,,,,N,,N,N,N,Both,Yes,5,,3,,5,,5,,,2,5,,,,2.91147,0.42600,1.60871,2.03471,4.94618,4.25219,1.25146,0.02079,48.6,,40.9,,0,,1.13083,0.80096,1.85614,0.68775,0.54891,3.09280,2.74182,3.60905,0.52807,1.99416,6.13128,5.27102,2025-08-07,10,10,10,56,1,0,56,2024-07-19,3,3,2,12,1,0,12,45.000,,0,0.00,0,0,"1957 Alvin Ricken Drive,Pocatello,ID,83201",42.8689,-112.41,,2026-08-01,0,0,48214.0,231884.0,493956.0,366216.0,,,No,No,2,Mountain West
135133,Idaho State Veterans Home - Lewiston,821 21st Avenue,Lewiston,ID,83501,2087503600,340,Nez Perce,Y,Government - State,66,48.8,,Medicare and Medicaid,N,DIVISION OF VETERANS SERVICES,2007-12-01,,,,,,,,N,,N,N,N,Resident,Yes,5,,4,,4,,4,,,2,5,,,,2.80542,0.30906,1.60301,1.91207,4.71749,4.06246,1.14890,0.10237,26.9,,6.3,,0,,1.07940,0.76453,1.77172,0.65647,0.52395,2.95214,2.61712,3.64330,0.40137,2.08176,6.12643,5.27577,2025-07-17,3,3,0,20,1,0,20,2024-06-28,3,0,3,83,0,0,83,35.750,,1,186850.00,0,1,"821 21st Avenue,Lewiston,ID,83501",46.3986,-117.02,,2026-08-01,0,0,56484.0,356939.0,528362.0,373809.0,,,No,No,2,Mountain West
135148,Idaho State Veterans Home - Post Falls,590 S Pleasant View Rd,Post Falls,ID,83854,2084153430,270,Kootenai,Y,Government - State,64,60.6,,Medicare and Medicaid,N,DIVISION OF VETERANS SERVICES,2023-03-21,,,,,,,,N,,Y,N,N,Both,Yes,1,,1,,2,,2,,,2,4,,,,2.49365,0.38551,1.39490,1.78041,4.27406,3.72616,0.94882,0.08376,69.8,,69.6,,0,,1.09420,0.77501,1.79602,0.66548,0.53113,2.99263,2.65301,3.19461,0.49387,1.78700,5.47548,4.77357,2025-08-01,12,10,3,100,1,0,100,2024-08-16,7,6,2,32,1,0,32,83.000,,2,36855.00,0,2,"590 S Pleasant View Rd,Post Falls,ID,83854",47.702,-117,,2026-08-01,0,0,40965.0,576053.0,527236.0,381520.0,,,No,No,2,Mountain West
