CMS Certification Number (CCN),Facility Name,Provider Address,City/Town,State,ZIP Code,Telephone Number,Provider SSA County Code,County/Parish,Urban,Ownership Type,Number of Certified Beds,Average Number of Residents per Day,Average Number of Residents per Day Footnote,Provider Type,Provider Resides in Hospital,Legal Business Name,Date First Approved to Provide Medicare and Medicaid Services,Chain Name,Chain ID,Number of Facilities in Chain,Chain Average Overall 5-star Rating,Chain Average Health Inspection Rating,Chain Average Staffing Rating,Chain Average QM Rating,Continuing Care Retirement Community,Special Focus Status,Abuse Icon,Most Recent Health Inspection More Than 2 Years Ago,Provider Changed Ownership in Last 12 Months,With a Resident and Family Council,Automatic Sprinkler Systems in All Required Areas,Overall Rating,Overall Rating Footnote,Health Inspection Rating,Health Inspection Rating Footnote,QM Rating,QM Rating Footnote,Long-Stay QM Rating,Long-Stay QM Rating Footnote,Short-Stay QM Rating,Short-Stay QM Rating Footnote,Staffing Rating,Staffing Rating Footnote,Reported Staffing Footnote,Physical Therapist Staffing Footnote,Reported Nurse Aide Staffing Hours per Resident per Day,Reported LPN Staffing Hours per Resident per Day,Reported RN Staffing Hours per Resident per Day,Reported Licensed Staffing Hours per Resident per Day,Reported Total Nurse Staffing Hours per Resident per Day,Total number of nurse staff hours per resident per day on the weekend,Registered Nurse hours per resident per day on the weekend,Reported Physical Therapist Staffing Hours per Resident Per Day,Total nursing staff turnover,Total nursing staff turnover footnote,Registered Nurse turnover,Registered Nurse turnover footnote,Number of administrators who have left the nursing home,Administrator turnover footnote,Nursing Case-Mix Index,Nursing Case-Mix Index Ratio,Case-Mix Nurse Aide Staffing Hours per Resident per Day,Case-Mix LPN Staffing Hours per Resident per Day,Case-Mix RN Staffing Hours per Resident per Day,Case-Mix Total Nurse Staffing Hours per Resident per Day,Case-Mix Weekend Total Nurse Staffing Hours per Resident per Day,Adjusted Nurse Aide Staffing Hours per Resident per Day,Adjusted LPN Staffing Hours per Resident per Day,Adjusted RN Staffing Hours per Resident per Day,Adjusted Total Nurse Staffing Hours per Resident per Day,Adjusted Weekend Total Nurse Staffing Hours per Resident per Day,Rating Cycle 1 Standard Survey Health Date,Rating Cycle 1 Total Number of Health Deficiencies,Rating Cycle 1 Number of Standard Health Deficiencies,Rating Cycle 1 Number of Complaint Health Deficiencies,Rating Cycle 1 Health Deficiency Score,Rating Cycle 1 Number of Health Revisits,Rating Cycle 1 Health Revisit Score,Rating Cycle 1 Total Health Score,Rating Cycle 2 Standard Health Survey Date,Rating Cycle 2/3 Total Number of Health Deficiencies,Rating Cycle 2 Number of Standard Health Deficiencies,Rating Cycle 2/3 Number of Complaint Health Deficiencies,Rating Cycle 2/3 Health Deficiency Score,Rating Cycle 2/3 Number of Health Revisits,Rating Cycle 2/3 Health Revisit Score,Rating Cycle 2/3 Total Health Score,Total Weighted Health Survey Score,Number of Citations from Infection Control Inspections,Number of Fines,Total Amount of Fines in Dollars,Number of Payment Denials,Total Number of Penalties,Location,Latitude,Longitude,Geocoding Footnote,Processing Date,EVS_Citation_Count,Dietary_Citation_Count,Overall_Rating,Health_Inspection_Rating,HOT_HOT_EVS,HOT_HOT_Dietary,Priority_Sort,Region
085051,DELAWARE VETERANS HOME,100 DELAWARE VETERANS BLVD,MILFORD,DE,19963,3024246000,020,Sussex,N,Government - State,144,63.7,,Medicare and Medicaid,N,STATE OF DELAWARE,2007-06-20,,,,,,,,N,,Y,N,N,Resident,Yes,4,,2,,5,,5,,,2,5,,,,3.89269,0.72597,2.46058,3.18655,7.07924,6.28324,1.69375,0.02965,54.0,,57.7,,0,,1.26153,0.89353,2.07068,0.76724,0.61233,3.45026,3.05871,4.32549,0.80668,2.73415,7.86632,6.98182,2026-03-12,7,7,2,56,1,0,56,2024-04-25,8,3,6,56,1,0,56,56.000,,2,118757.00,0,2,"100 DELAWARE VETERANS BLVD,MILFORD,DE,19963",38.9357,-75.453,,2026-07-01,0,0,,,No,No,3,Northeast
105840,EMORY L BENNETT MEMORIAL VETERANS NURSING HOME,1920 MASON AVENUE,DAYTONA BEACH,FL,32117,3862743460,630,Volusia,Y,Government - State,120,115.1,,Medicare and Medicaid,N,FLORIDA DEPARTMENT OF VETERANS AFFAIRS,1994-01-19,FLORIDA DEPARTMENT OF VETERANS' AFFAIRS,739,8,3.8,3.4,4.4,2.4,N,,N,N,N,Both,Yes,4,,3,,3,,3,,,2,5,,,,2.73065,0.56666,1.23256,1.79921,4.52987,3.92055,0.82058,0.05288,58.0,,35.5,,1,,1.14590,0.81163,1.88089,0.69692,0.55620,3.13401,2.77835,3.34043,0.69319,1.50780,5.54143,4.79604,2024-10-17,5,5,0,24,1,0,24,2022-12-01,5,5,0,36,1,0,36,27.000,,1,9503.00,0,1,"1920 MASON AVENUE,DAYTONA BEACH,FL,32117",29.2123,-81.083,,2026-07-01,0,0,3.8,3.4,No,No,3,Southeast
106006,BALDOMERO LOPEZ MEMORIAL VETERANS NURSING HOME,6919 PARKWAY BLVD,LAND O LAKES,FL,34639,8135585000,500,Pasco,Y,Government - State,120,113.9,,Medicare and Medicaid,N,FLORIDA DEPARTMENT OF VETERANS AFFAIRS,1999-05-07,FLORIDA DEPARTMENT OF VETERANS' AFFAIRS,739,8,3.8,3.4,4.4,2.4,N,,N,Y,N,Both,Yes,5,,4,,3,,3,,,2,5,,,,3.00886,0.89563,0.85293,1.74856,4.75742,4.12949,0.55292,0.02225,47.5,,48.4,,0,,1.24582,0.88240,2.04490,0.75769,0.60470,3.40729,3.02062,3.38555,1.00776,0.95971,5.35302,4.64648,2024-01-25,3,0,3,20,0,0,20,2022-01-14,2,2,0,8,1,0,8,17.000,,0,0.00,0,0,"6919 PARKWAY BLVD,LAND O LAKES,FL,34639",28.2527,-82.445,,2026-07-01,0,0,3.8,3.4,No,No,3,Southeast
106038,"ALEXANDER ""SANDY"" NININGER STATE VETERANS NURSING",8401 W CYPRESS DR,PEMBROKE PINES,FL,33025,9549854824,050,Broward,Y,Government - State,120,113.1,,Medicare and Medicaid,N,FLORIDA DEPARTMENT OF VETERANS AFFAIRS,2001-09-06,FLORIDA DEPARTMENT OF VETERANS' AFFAIRS,739,8,3.8,3.4,4.4,2.4,N,,N,N,N,Both,Yes,3,,2,,2,,2,,,2,5,,,,3.57942,0.96958,1.01692,1.98650,5.56592,5.03348,0.61474,0.04856,24.4,,26.9,,0,,1.26516,0.89610,2.07665,0.76945,0.61409,3.46019,3.06752,3.96597,1.07429,1.12673,6.16699,5.57705,2025-01-09,15,14,1,92,1,0,92,2023-09-14,3,2,1,12,1,0,12,72.000,,1,38659.00,0,1,"8401 W CYPRESS DR,PEMBROKE PINES,FL,33025",26.004,-80.253,,2026-07-01,0,0,3.8,3.4,No,No,3,Southeast
106056,CLIFFORD CHESTER SIMS STATE VETERANS NURSING HOME,4419 TRAM ROAD,PANAMA CITY,FL,32404,8507475401,020,Bay,Y,Government - State,120,114.4,,Medicare and Medicaid,N,FLORIDA DEPARTMENT OF VETERANS AFFAIRS,2003-11-05,FLORIDA DEPARTMENT OF VETERANS' AFFAIRS,739,8,3.8,3.4,4.4,2.4,N,,N,N,N,Both,Yes,5,,5,,2,,2,,,2,5,,,,3.08015,1.22044,0.97455,2.19499,5.27514,4.74335,0.52064,0.03522,45.0,,34.4,,1,,1.22772,0.86958,2.01518,0.74668,0.59592,3.35778,2.97673,3.51687,1.39348,1.11272,6.02307,5.41588,2025-04-03,0,0,0,0,0,0,0,2024-02-01,2,2,0,8,1,0,8,2.000,,0,0.00,0,0,"4419 TRAM ROAD,PANAMA CITY,FL,32404",30.1841,-85.564,,2026-07-01,0,0,3.8,3.4,No,No,3,Southeast
106059,DOUGLAS JACOBSON STATE VETERANS NURSING HOME,21281 GRAYTON TERRACE,PORT CHARLOTTE,FL,33954,9416130919,070,Charlotte,Y,Government - State,120,112.3,,Medicare and Medicaid,N,FLORIDA DEPARTMENT OF VETERANS AFFAIRS,2004-06-07,FLORIDA DEPARTMENT OF VETERANS' AFFAIRS,739,8,3.8,3.4,4.4,2.4,N,,Y,N,N,Both,Yes,3,,2,,2,,2,,,2,5,,,,2.60358,0.90429,1.16386,2.06815,4.67173,3.95014,0.76330,0.02155,52.1,,32.0,,0,,1.18875,0.84198,1.95122,0.72298,0.57700,3.25120,2.88225,3.07017,1.06635,1.37244,5.50897,4.65806,2024-09-06,7,5,3,56,1,0,56,2023-06-02,11,4,7,116,1,0,116,71.000,,7,139435.00,1,8,"21281 GRAYTON TERRACE,PORT CHARLOTTE,FL,33954",27.0278,-82.099,,2026-07-01,0,0,3.8,3.4,No,No,3,Southeast
106088,CLYDE E LASSEN STATE VETERANS NURSING HOME,4650 STATE RD 16,SAINT AUGUSTINE,FL,32092,9049402193,540,St. Johns,Y,Government - State,120,113.8,,Medicare and Medicaid,N,FLORIDA DEPARTMENT OF VETERANS AFFAIRS,2011-03-04,FLORIDA DEPARTMENT OF VETERANS' AFFAIRS,739,8,3.8,3.4,4.4,2.4,N,,N,N,N,Both,Yes,4,,5,,3,,3,,,2,1,25,25,6,,,,,,,,,56.0,,57.6,,,26,,,,,,,,,,,,,2025-08-22,1,1,0,4,1,0,4,2023-09-08,0,0,0,0,0,0,0,3.000,,0,0.00,0,0,"4650 STATE RD 16,SAINT AUGUSTINE,FL,32092",29.9596,-81.468,,2026-07-01,0,0,3.8,3.4,No,No,3,Southeast
106151,ALWYN C CASHE STATE VETERANS NURSING HOME,5255 RAYMOND ST,ORLANDO,FL,32803,4077414614,470,Orange,Y,Government - State,112,101.6,,Medicare and Medicaid,N,FLORIDA DEPARTMENT OF VETERANS AFFAIRS,2023-10-11,FLORIDA DEPARTMENT OF VETERANS' AFFAIRS,739,8,3.8,3.4,4.4,2.4,N,,Y,N,N,Resident,Yes,1,,2,,1,,1,,,2,4,,,,3.04795,1.00508,1.24527,2.25036,5.29830,4.63046,0.83336,0.05864,72.5,,72.1,,0,,1.30334,0.92314,2.13932,0.79267,0.63263,3.56462,3.16010,3.27816,1.08100,1.33933,5.69849,4.98021,2025-02-27,11,5,6,84,1,0,84,2023-09-08,11,2,9,92,1,0,92,86.000,,11,68731.00,0,11,"5255 RAYMOND ST,ORLANDO,FL,32803",28.579,-81.321,,2026-07-01,0,0,3.8,3.4,No,No,3,Southeast
125021,KAUAI VETERANS MEMORIAL HOSPITAL,4643 WAIMEA CANYON DRIVE,WAIMEA,HI,96796,8083389431,040,Kauai,N,Government - State,20,20.0,,Medicare and Medicaid,Y,KAUAI VETERANS MEMORIAL HOSPITAL,1973-04-11,HAWAII HEALTH SYSTEMS CORPORATION,250,7,4.2,3.3,4.8,4.7,N,SFF Candidate,N,N,N,Resident,Yes,2,,1,,5,,5,,,2,5,,,,2.73167,0.27528,1.84056,2.11583,4.84750,4.30288,1.35385,0.00794,9.5,,12.5,,,26,1.22502,0.86767,2.01075,0.74504,0.59461,3.35040,2.97018,3.12585,0.31500,2.10615,5.54700,4.92379,2024-09-10,6,6,0,170,1,0,170,2023-09-22,4,4,0,28,1,0,28,134.500,,1,34588.00,0,1,"4643 WAIMEA CANYON DRIVE,WAIMEA,HI,96796",21.9604,-159.67,,2026-07-01,0,0,4.2,3.3,No,No,3,Pacific
125058,YUKIO OKUTSU STATE VETERANS HOME,1180 WAIANUENUE AVENUE,HILO,HI,96720,8089611500,010,Hawaii,N,Government - State,95,67.1,,Medicare and Medicaid,N,HAWAII HEALTH SYSTEMS CORPORATION,2008-03-10,HAWAII HEALTH SYSTEMS CORPORATION,250,7,4.2,3.3,4.8,4.7,N,,N,N,N,Resident,Yes,4,,3,,5,,5,,5,,4,,,,3.02688,0.49930,1.11846,1.61775,4.64463,4.06893,0.90666,0.07233,60.3,,53.6,,,26,1.25875,0.89156,2.06612,0.76555,0.61098,3.44264,3.05196,3.37085,0.55604,1.24556,5.17244,4.53131,2024-11-15,10,10,0,44,1,0,44,2023-10-30,11,10,2,68,1,0,68,50.000,,1,13049.00,0,1,"1180 WAIANUENUE AVENUE,HILO,HI,96720",19.7175,-155.11,,2026-07-01,0,0,4.2,3.3,No,No,3,Pacific
125070,DANIEL K AKAKA STATE VETERANS HOME,91-1204 KEALANANI AVE,KAPOLEI,HI,96707,8088610926,020,Honolulu,Y,Government - State,,,10,Medicare and Medicaid,N,DANIEL K AKAKA STATE VETERANS HOME,2025-07-29,HAWAII HEALTH SYSTEMS CORPORATION,250,7,4.2,3.3,4.8,4.7,N,,N,N,N,Both,Data Not Available,,1,,1,,1,,1,,1,,1,6,6,,,,,,,,,,27,,27,,27,,,,,,,,,,,,,2026-04-23,,,,,,,,,,,,,,,,,,0,0.00,0,0,"91-1204 KEALANANI AVE,KAPOLEI,HI,96707",21.3396,-158.07,,2026-07-01,0,0,4.2,3.3,No,No,3,Pacific
135131,Idaho State Veterans Home - Boise,320 Collins Road,Boise,ID,83702,2087801600,000,Ada,Y,Government - State,122,75.1,,Medicare and Medicaid,N,DIVISION OF VETERANS SERVICES,2007-09-01,,,,,,,,N,,N,N,N,Resident,Yes,2,,1,,3,,3,,,2,5,,,,2.50942,0.50275,1.21685,1.71960,4.22902,3.40866,0.60010,0.02120,45.3,,34.6,,0,,1.17450,0.83188,1.92783,0.71431,0.57008,3.21222,2.84769,2.99505,0.60005,1.45234,5.04744,4.06832,2025-05-16,12,12,12,124,1,0,124,2021-12-03,3,3,0,12,1,0,12,96.000,0,0,0.00,0,0,"320 Collins Road,Boise,ID,83702",43.6176,-116.19,,2026-07-01,0,0,,,No,No,3,Mountain West
135132,Idaho State Veterans Home - Pocatello,1957 Alvin Ricken Drive,Pocatello,ID,83201,2082357800,020,Bannock,Y,Government - State,66,52.9,,Medicare and Medicaid,N,DIVISION OF VETERANS SERVICES,2007-11-01,,,,,,,,N,,N,N,N,Both,Yes,5,,3,,5,,5,,,2,5,,,,2.91147,0.42600,1.60871,2.03471,4.94618,4.25219,1.25146,0.02079,48.6,,40.9,,0,,1.13083,0.80096,1.85616,0.68775,0.54889,3.09280,2.74182,3.60908,0.52807,1.99418,6.13132,5.27105,2025-08-07,10,10,10,56,1,0,56,2024-07-19,3,3,2,12,1,0,12,45.000,,0,0.00,0,0,"1957 Alvin Ricken Drive,Pocatello,ID,83201",42.8689,-112.41,,2026-07-01,0,0,,,No,No,3,Mountain West
135133,Idaho State Veterans Home - Lewiston,821 21st Avenue,Lewiston,ID,83501,2087503600,340,Nez Perce,Y,Government - State,66,48.8,,Medicare and Medicaid,N,DIVISION OF VETERANS SERVICES,2007-12-01,,,,,,,,N,,N,N,N,Resident,Yes,5,,4,,4,,4,,,2,5,,,,2.80542,0.30906,1.60301,1.91207,4.71749,4.06246,1.14890,0.10237,26.9,,6.3,,0,,1.07940,0.76453,1.77174,0.65648,0.52393,2.95214,2.61712,3.64332,0.40137,2.08178,6.12647,5.27580,2025-07-17,3,3,0,20,1,0,20,2024-06-28,3,0,3,83,0,0,83,35.750,,1,186850.00,0,1,"821 21st Avenue,Lewiston,ID,83501",46.3986,-117.02,,2026-07-01,0,0,,,No,No,3,Mountain West
135148,Idaho State Veterans Home - Post Falls,590 S Pleasant View Rd,Post Falls,ID,83854,2084153430,270,Kootenai,Y,Government - State,64,60.6,,Medicare and Medicaid,N,DIVISION OF VETERANS SERVICES,2023-03-21,,,,,,,,N,,Y,N,N,Both,Yes,1,,1,,2,,2,,,2,4,,,,2.49365,0.38551,1.39490,1.78041,4.27406,3.72616,0.94882,0.08376,69.8,,69.6,,0,,1.09420,0.77501,1.79603,0.66548,0.53111,2.99262,2.65301,3.19463,0.49387,1.78701,5.47552,4.77360,2025-08-01,12,10,3,100,1,0,100,2024-08-16,7,6,2,32,1,0,32,83.000,,2,36855.00,0,2,"590 S Pleasant View Rd,Post Falls,ID,83854",47.702,-117,,2026-07-01,0,0,,,No,No,3,Mountain West
155787,INDIANA VETERANS HOME,3851 N RIVER RD,WEST LAFAYETTE,IN,47906,7654631502,780,Tippecanoe,Y,Government - State,212,103.6,,Medicare and Medicaid,N,STATE OF INDIANA AUDITOR OF STATE,2011-03-04,,,,,,,,N,,N,N,N,Resident,Yes,3,,3,,3,,3,,,2,4,,,,3.86938,0.54457,1.20001,1.74459,5.61397,4.79422,0.98281,0.01278,64.2,,54.1,,0,,1.22145,0.86514,2.00490,0.74287,0.59288,3.34065,2.96154,4.44066,0.62498,1.37718,6.44282,5.50204,2025-12-08,2,2,1,8,1,0,8,2024-12-09,11,4,8,76,1,0,76,25.000,,0,0.00,0,0,"3851 N RIVER RD,WEST LAFAYETTE,IN,47906",40.4734,-86.884,,2026-07-01,0,0,,,No,No,3,Midwest
